"id","code","name","level_id","parent_id","path"
"55010",NULL,"Ojal Otonje","5","1234","1.43.247.1234."
"55011",NULL,"Oila Ombogo","5","1228","1.43.246.1228."
"55012",NULL,"Ogera","5","1229","1.43.246.1229."
"55013",NULL,"Ogingo","5","1248","1.43.250.1248."
"55014",NULL,"Ogoe Gee","5","1242","1.43.249.1242."
"55015",NULL,"Ogoe Mojwang","5","1242","1.43.249.1242."
"55016",NULL,"Ogol","5","1237","1.43.248.1237."
"55017",NULL,"Ogola Nyayugi","5","1239","1.43.248.1239."
"55018",NULL,"Ogola Wuon Nyambare","5","1239","1.43.248.1239."
"55019",NULL,"Ogongo","5","1242","1.43.249.1242."
"55020",NULL,"Ogongo Tir East","5","1256","1.43.251.1256."
"55021",NULL,"Ogongo Tir West","5","1256","1.43.251.1256."
"55022",NULL,"Ogunde","5","1248","1.43.250.1248."
"55023",NULL,"Oguta","5","1258","1.43.252.1258."
"55024",NULL,"Ogwedhi","5","1233","1.43.247.1233."
"55025",NULL,"Ogwenyore A","5","1245","1.43.250.1245."
"55026",NULL,"Ogwenyore B","5","1245","1.43.250.1245."
"55027",NULL,"Ohongo A","5","1243","1.43.249.1243."
"55028",NULL,"Ohongo B","5","1243","1.43.249.1243."
"55029",NULL,"Oindo","5","1250","1.43.250.1250."
"55030",NULL,"Nzeveni","5","368","1.15.74.368."
"55031",NULL,"Ochia Sakwa","5","1228","1.43.246.1228."
"55032",NULL,"Obwanda Central","5","1239","1.43.248.1239."
"55033",NULL,"Nzoani","5","367","1.15.74.367."
"55034",NULL,"Nzongoni","5","343","1.15.69.343."
"55035",NULL,"Nzookoni","5","359","1.15.73.359."
"55036",NULL,"Nzouni","5","340","1.15.69.340."
"55037",NULL,"Nzouni","5","344","1.15.69.344."
"55038",NULL,"Nzouni","5","345","1.15.69.345."
"55039",NULL,"Nzouni","5","361","1.15.73.361."
"55040",NULL,"Nziuni","5","336","1.15.68.336."
"55041",NULL,"Nzouni","5","363","1.15.73.363."
"55042",NULL,"Nzouni","5","367","1.15.74.367."
"55043",NULL,"Nzouni","5","366","1.15.74.366."
"55044",NULL,"Nzuki Imwe B","5","353","1.15.71.353."
"55045",NULL,"Nzukini","5","353","1.15.71.353."
"55046",NULL,"Nzukini","5","359","1.15.73.359."
"55047",NULL,"Nzukini A","5","357","1.15.72.357."
"55048",NULL,"Nzukini B","5","357","1.15.72.357."
"55049",NULL,"Nzouni","5","370","1.15.74.370."
"55050",NULL,"Nzitu","5","342","1.15.69.342."
"55051",NULL,"Nzinia","5","346","1.15.70.346."
"55052",NULL,"Nzinguu","5","354","1.15.72.354."
"55053",NULL,"Nzewa","5","360","1.15.73.360."
"55054",NULL,"Nzewani","5","333","1.15.67.333."
"55055",NULL,"Nzewani","5","347","1.15.70.347."
"55056",NULL,"Nzewani","5","346","1.15.70.346."
"55057",NULL,"Nzewani A","5","360","1.15.73.360."
"55058",NULL,"Nzewani B","5","360","1.15.73.360."
"55059",NULL,"Nzia","5","344","1.15.69.344."
"55060",NULL,"Nziani","5","338","1.15.68.338."
"55061",NULL,"Nziani","5","350","1.15.71.350."
"55062",NULL,"Nziani","5","357","1.15.72.357."
"55063",NULL,"Nziiani","5","349","1.15.70.349."
"55064",NULL,"Nziitu","5","334","1.15.67.334."
"55065",NULL,"Nzikani","5","334","1.15.67.334."
"55066",NULL,"Nzikani","5","342","1.15.69.342."
"55067",NULL,"Nziki","5","364","1.15.73.364."
"55068",NULL,"Nzilani","5","339","1.15.68.339."
"55069",NULL,"Nzilani","5","359","1.15.73.359."
"55070",NULL,"Nzuli","5","367","1.15.74.367."
"55071",NULL,"Nzulunga","5","340","1.15.69.340."
"55072",NULL,"Nzumani A","5","361","1.15.73.361."
"55073",NULL,"Nzumani B","5","360","1.15.73.360."
"55074",NULL,"Obado","5","1248","1.43.250.1248."
"55075",NULL,"Obaje East","5","1249","1.43.250.1249."
"55076",NULL,"Obaje West","5","1249","1.43.250.1249."
"55077",NULL,"Obalwanda A","5","1255","1.43.251.1255."
"55078",NULL,"Obalwanda B","5","1255","1.43.251.1255."
"55079",NULL,"Obalwanda C","5","1255","1.43.251.1255."
"55080",NULL,"Obambo A","5","1255","1.43.251.1255."
"55081",NULL,"Obambo B","5","1255","1.43.251.1255."
"55082",NULL,"Obanga","5","1258","1.43.252.1258."
"55083",NULL,"Ober","5","1249","1.43.250.1249."
"55084",NULL,"Obere","5","1250","1.43.250.1250."
"55085",NULL,"Obina B","5","1224","1.43.245.1224."
"55086",NULL,"Obino A","5","1224","1.43.245.1224."
"55087",NULL,"Oboch","5","1251","1.43.250.1251."
"55088",NULL,"Obunga","5","1232","1.43.247.1232."
"55089",NULL,"Obuolo","5","1225","1.43.245.1225."
"55090",NULL,"Obuya","5","1238","1.43.248.1238."
"55091",NULL,"Nzyalani","5","332","1.15.67.332."
"55092",NULL,"Obwarare","5","1228","1.43.246.1228."
"55093",NULL,"Nzusi","5","365","1.15.74.365."
"55094",NULL,"Nzunzuni A","5","357","1.15.72.357."
"55095",NULL,"Nzune","5","354","1.15.72.354."
"55096",NULL,"Nzungu","5","334","1.15.67.334."
"55097",NULL,"Nzungu","5","345","1.15.69.345."
"55098",NULL,"Nzungui","5","359","1.15.73.359."
"55099",NULL,"Nzunguli","5","339","1.15.68.339."
"55100",NULL,"Nzunguli","5","346","1.15.70.346."
"55101",NULL,"Nzungululuni","5","367","1.15.74.367."
"55102",NULL,"Nzunguni","5","338","1.15.68.338."
