"id","code","name","level_id","parent_id","path"
"55370",NULL,"Nyabondo","5","1233","1.43.247.1233."
"55371",NULL,"Nyabongo","5","1223","1.43.245.1223."
"55372",NULL,"Nyabola","5","1238","1.43.248.1238."
"55373",NULL,"Nyaboro","5","1258","1.43.252.1258."
"55374",NULL,"Nyaburu","5","1234","1.43.247.1234."
"55375",NULL,"Nyaburu A","5","1257","1.43.252.1257."
"55376",NULL,"Nyaburu B","5","1257","1.43.252.1257."
"55377",NULL,"Nyabwacheche","5","1258","1.43.252.1258."
"55378",NULL,"Nyabware","5","1251","1.43.250.1251."
"55379",NULL,"Nyachar","5","1238","1.43.248.1238."
"55380",NULL,"Nyacharo","5","1251","1.43.250.1251."
"55381",NULL,"Nyabuor","5","1231","1.43.247.1231."
"55382",NULL,"Nyabola","5","1221","1.43.245.1221."
"55383",NULL,"Nyabinya","5","1245","1.43.250.1245."
