id,parentid,level,name
107,23501,3,Mbeere North
70051,23504,3,Matungulu
23529,23531,3,Matungu
85,23388,3,Matuga
274705,23382,3,Mathira West
274709,23382,3,Mathira East
66433,23384,3,Mathioya
6458860,23393,3,Mathare
38,23530,3,Matayos
70009,23504,3,Masinga
106,23410,3,Masaba North
58409,23514,3,Marigat
104,23512,3,Marakwet West
58550,23512,3,Marakwet East
5206201,23501,3,Manyatta
103,23410,3,Manga
102,23403,3,Mandera West
100,23403,3,Mandera South
23400,23403,3,Mandera North
101,23403,3,Mandera East
99,23387,3,Malindi
63,23531,3,Malava
98,23507,3,Makueni
23399,23393,3,Makadara
46121,23387,3,Magarini
97,23504,3,Machakos
61,23531,3,Lurambi
3573993,23388,3,Lunga Lunga
95,23531,3,Lugari
3029771,23532,3,Luanda
94,23511,3,Loitokitok
63132,23522,3,Loima
70,23386,3,Limuru
51969,23531,3,Likuyani
45821,23390,3,Likoni
99209,23386,3,Lari
124,23393,3,Langata
93,23389,3,Lamu West
45820,23389,3,Lamu East
92,23505,3,Laisamis
91,23513,3,Laikipia West
90,23513,3,Laikipia North
89,23513,3,Laikipia East
88,23401,3,Lagdera
274785,23403,3,Lafey
86,23519,3,Kwanza
13616269,23403,3,Kutulo
84,23409,3,Kuria West
83,23409,3,Kuria East
5550018,23509,3,Kuresoi South
63433,23509,3,Kuresoi North
63143,23510,3,Konoin
82,23514,3,Koibatek
1741135,23407,3,Kitutu Chache South
54297,23407,3,Kitutu Chache North
70098,23503,3,Kitui West
119,23503,3,Kitui South
70091,23503,3,Kitui Rural
70087,23503,3,Kitui East
81,23503,3,Kitui Central
406263,23408,3,Kisumu West
79,23408,3,Kisumu East
52345915,23408,3,Kisumu Central
112,23390,3,Kisauni
76,23385,3,Kirinyaga West
66432,23385,3,Kirinyaga South
66431,23385,3,Kirinyaga North/Mwea West
66430,23385,3,Kirinyaga East
66094,23385,3,Kirinyaga Central
75,23515,3,Kipkelion West
63109,23515,3,Kipkelion East
274688,23383,3,Kipipiri
274686,23383,3,Kinangop
74,23388,3,Kinango
164,23519,3,Kiminini
52060,23533,3,Kimilili
500879,23507,3,Kilome
3573906,23387,3,Kilifi South
3573903,23387,3,Kilifi North
274645,23386,3,Kikuyu
117,23384,3,Kiharu
79039,23384,3,Kigumo
138,23382,3,Kieni West
274715,23382,3,Kieni East
500873,23507,3,Kibwezi West
500872,23507,3,Kibwezi East
6458775,23393,3,Kibra
1210148,23522,3,Kibish
69,23386,3,Kiambu Town
1480068,23386,3,Kiambaa
51978,23531,3,Khwisero
2891590,23520,3,Kesses
69331,23512,3,Keiyo South
67,23512,3,Keiyo North
23498,23504,3,Kathiani
23398,23393,3,Kasarani
54144,23406,3,Karachuonyo
173,23520,3,Kapseret
66,23504,3,Kangundo
66435,23384,3,Kangema
34,23533,3,Kanduyi
79041,23384,3,Kandara
123,23393,3,Kamukunji
65,23387,3,Kaloleni
68680407,23504,3,Kalama
2839512,23511,3,Kajiado West
60,23511,3,Kajiado North
274809,23511,3,Kajiado East
62848,23511,3,Kajiado Central
500881,23507,3,Kaiti
52028,23533,3,Kabuchai
2821613,23406,3,Kabondo Kasipul
1480070,23386,3,Kabete
78938,23386,3,Juja
3555921,23390,3,Jomvu
59,23508,3,Isiolo
58,23502,3,Imenti South
57,23502,3,Imenti North
56,23502,3,Imenti Central
64,23531,3,Ikolomani
55,23401,3,Ijara
54,23502,3,Igembe South
71633,23502,3,Igembe North
3129987,23502,3,Igembe Central
13614693,23506,3,Igambangombe
274781,23401,3,Hulugho
53,23406,3,Homa Bay Town
52,23532,3,Hamisi
249509,23386,3,Githunguri
61230,23509,3,Gilgil
45417,23411,3,Gem
49,23386,3,Gatundu South
274247,23386,3,Gatundu North
78939,23384,3,Gatanga
154,23392,3,Garsen
48,23401,3,Garissa
47,23508,3,Garbatulla
45818,23387,3,Ganze
155,23392,3,Galole
46,23401,3,Fafi
3946209,23519,3,Endebess
45,23532,3,Emuhaya
128,23516,3,Emgwen
6459121,23393,3,Embakasi West
6458924,23393,3,Embakasi South
6458975,23393,3,Embakasi North
6459069,23393,3,Embakasi East
6458994,23393,3,Embakasi Central
274787,23402,3,Eldas
41,23514,3,East Pokot
6458693,23393,3,Dagoretti South
6458667,23393,3,Dagoretti North
274777,23401,3,Dadaab
109,23506,3,Chuka
3050816,23516,3,Chesumei
163,23519,3,Cherangany
52061,23533,3,Cheptais
63144,23510,3,Chepalungu
73,23390,3,Changamwe
71563,23502,3,Buuri
23528,23530,3,Butula
39,23531,3,Butere
37,23515,3,Bureti
45832,23392,3,Bura
36,23530,3,Bunyala
51968,23533,3,Bumula
31,23410,3,Borabu
30,23411,3,Bondo
78,23407,3,Bonchari
2435836,23510,3,Bomet East
29,23510,3,Bomet Central
50,23407,3,Bomachoge Chache
54387,23407,3,Bomachoge Borabu
54405,23407,3,Bobasi
62950,23515,3,Belgut
28,23514,3,Baringo North
27,23514,3,Baringo Central
274784,23403,3,Banissa
223918,23401,3,Balambala
274789,23409,3,Awendo
23497,23504,3,Athi River
150,23411,3,Alego Usonga
131,23516,3,Aldai
68,23515,3,Ainamoi
2891591,23520,3,Ainabkoi
13617129,70087,4,Zombe/Mwitika (Kitui East)
13907370,43,4,Ziwa (Soy)
51036098,23396,4,Ziwani/Kariokor (Starehe)
13655176,3557454,4,Ziwa La Ng'ombe (Nyali)
13614839,6458808,4,Zimmerman (Roysambu)
13614908,30,4,Yimbo East (Bondo)
13615858,45417,4,Yala Township (Gem)
13613637,45834,4,Wusi/Kishamba (Mwatate)
13609839,45833,4,Wundanyi/Mbale (Wundanyi)
13609823,45833,4,Wumingu/Kishushe (Wundanyi)
13609705,98,4,Wote (Makueni)
13615415,6458775,4,Woodley/Kenyatta Golf Course (Kibra)
13618557,23525,4,Wodanga (Sabatia)
13615315,93,4,Witu (Lamu West)
13609788,78938,4,Witeithie (Juja)
13612230,1741073,4,Wiga (Suna West)
13614911,30,4,West Yimbo (Bondo)
13612335,144,4,West Uyoma (Rarieda)
13614717,45418,4,West Ugenya (Ugenya)
13615436,80,4,West Seme (Seme)
13610609,34,4,West Sang'alo (Kanduyi)
13614905,30,4,West Sakwa (Bondo)
13615141,274789,4,West Sakwa (Awendo)
13618554,23525,4,West Sabatia (Sabatia)
13615155,53971,4,West Nyakach (Nyakach)
13615071,52028,4,West Nalondo (Kabuchai)
13612496,406263,4,West Kisumu (Kisumu West)
13617109,143,4,West Kasipul (Rachuonyo South)
13633814,54144,4,West Karachuonyo (Karachuonyo)
13614098,97310,4,West Kanyamkago (Uriri)
13615121,143,4,West Kamagak (Rachuonyo South)
13613950,63,4,West Kabras (Malava)
13633679,2302339,4,West Gem (Rangwe)
13615857,45417,4,West Gem (Gem)
13615419,45,4,West Bunyore (Emuhaya)
13614669,51968,4,West Bukusu (Bumula)
13612332,144,4,West Asembo (Rarieda)
13613686,150,4,West Alego (Alego Usonga)
13614279,79766,4,Weru (Oljoroorok)
13609813,45833,4,Werugha (Wundanyi)
13615325,3029771,4,Wemilabi (Luanda)
13618144,141,4,Wei Wei (Pokot Central)
27280807,155,4,Wayu (Galole)
13617065,3573903,4,Watamu (Kilifi North)
13615289,147,4,Waso (Samburu East)
13612228,1741073,4,Wasimbete (Suna West)
13612229,1741073,4,Waseweta II (Suna West)
13612560,61240,4,Waseges (Subukia)
13616271,100,4,Wargudud (Mandera South)
13612631,274788,4,Wargadud (Tarbaj)
15240359,274785,4,Waranqara (Lafey)
13615173,274688,4,Wanjohi (Kipipiri)
13612215,117,4,Wangu (Kiharu)
13633975,54144,4,Wang'chieng (Karachuonyo)
13612815,120,4,Wamunyu (Mwala)
13614064,66431,4,Wamumu (Kirinyaga North/Mwea West)
13615284,147,4,Wamba West (Samburu East)
13616852,147,4,Wamba North (Samburu East)
13615279,147,4,Wamba East (Samburu East)
13612451,167961,4,Wamagana (Tetu)
13612422,62950,4,Waldai (Belgut)
13590621,6458693,4,Waithaka (Dagoretti South)
13617163,121,4,Waita (Mwingi Central)
13615951,164,4,Waitaluk (Kiminini)
13615055,500865,4,Waia-kako (Mbooni)
13618531,169,4,Wagberi (Wajir East)
13615427,48,4,Waberi (Garissa)
13655045,59,4,Wabera (Isiolo)
6592543,85,4,Waa Ng'ombeni (Matuga)
13617128,70087,4,Voo/Kyamatu (Kitui East)
13612509,125,4,Viwandani (Naivasha)
13612295,23399,4,Viwandani (Makadara)
13615728,61109,4,Visoi (Rongai)
6592477,3573993,4,Vanga (Lunga Lunga)
13589829,6458693,4,Uthiru/Ruthimitu (Dagoretti South)
13615277,1480070,4,Uthiru (Kabete)
13614344,6459069,4,Utawala (Embakasi East)
13613659,6458824,4,Utalii (Ruaraka)
13613685,150,4,Usonga (Alego Usonga)
13616510,113,4,Uran (Moyale)
13614341,6459069,4,Upper Savannah (Embakasi East)
13613691,23498,4,Upper Kaewa/Iveti (Kathiani)
13613325,6459121,4,Umoja II (Embakasi West)
13613328,6459121,4,Umoja I (Embakasi West)
26407632,89,4,Umande (Laikipia East)
13614711,45418,4,Ukwala (Ugenya)
6592508,114,4,Ukunda (Msambweni)
15393899,500881,4,Ukia (Kaiti)
13615444,274790,4,Ugunja (Ugunja)
13612385,3976864,4,Tuwani (Saboti)
13615832,63132,4,Turkwel (Loima)
13618066,111,4,Turi (Molo)
13614278,71631,4,Turbi (North Horr)
13613744,2891590,4,Tulwet/Chuiyat (Kesses)
13615051,500865,4,Tulimani (Mbooni)
13613648,46109,4,Tudor (Mvita)
6592529,85,4,Tsimba Golini (Matuga)
13775731,87,4,Tseikuru (Mwingi North)
13618528,169,4,Township (Wajir East)
13612489,159,4,Township (Thika Town)
13610653,134,4,Township (Nyamira)
13612551,101,4,Township (Mandera East)
13617104,81,4,Township (Kitui Central)
13612213,117,4,Township (Kiharu)
13618129,69,4,Township (Kiambu Town)
13610603,34,4,Township (Kanduyi)
13615426,48,4,Township (Garissa)
13613644,46109,4,Tononoka (Mvita)
22888722,33,4,Tongaren (Tongaren)
6592559,85,4,Tiwi (Matuga)
26407615,41,4,Tirioko (East Pokot)
13618126,69,4,Ting'ang'a (Kiambu Town)
13616264,5550018,4,Tinet (Kuresoi South)
13615652,161,4,Tinderet (Tinderet)
