,id,name,level,parent,children_url
7367,56570,Bulla Central -  Katote ,Village,12438,/clts/user/loadUnitDashboard?id=56570
7368,56540,Bulla Central A,Village,12438,/clts/user/loadUnitDashboard?id=56540
7369,56550,Bulla Central A,Village,12438,/clts/user/loadUnitDashboard?id=56550
7370,56541,Bulla Central B,Village,12438,/clts/user/loadUnitDashboard?id=56541
7371,56551,Bulla Central B,Village,12438,/clts/user/loadUnitDashboard?id=56551
7372,56552,Bulla Central C,Village,12438,/clts/user/loadUnitDashboard?id=56552
7373,56549,Bulla D,Village,12438,/clts/user/loadUnitDashboard?id=56549
7374,56556,Bulla Dai Dai B,Village,12438,/clts/user/loadUnitDashboard?id=56556
7375,56561,Bulla Dam,Village,12438,/clts/user/loadUnitDashboard?id=56561
7376,56568,Bulla Dam - El Yunis,Village,12438,/clts/user/loadUnitDashboard?id=56568
7377,56538,Bulla Dektar A,Village,12438,/clts/user/loadUnitDashboard?id=56538
7378,56539,Bulla Dektar B,Village,12438,/clts/user/loadUnitDashboard?id=56539
7379,56575,Bulla Diktar ,Village,12438,/clts/user/loadUnitDashboard?id=56575
7380,56544,Bulla Doksa,Village,12438,/clts/user/loadUnitDashboard?id=56544
7381,56565,Bulla Gotade ,Village,12438,/clts/user/loadUnitDashboard?id=56565
7382,56576,Bulla Halane - Hassan Yarow,Village,12438,/clts/user/loadUnitDashboard?id=56576
7383,56527,Bulla Haragaal A,Village,12438,/clts/user/loadUnitDashboard?id=56527
7384,56529,Bulla Haragaal B,Village,12438,/clts/user/loadUnitDashboard?id=56529
7385,56530,Bulla Haragaal B,Village,12438,/clts/user/loadUnitDashboard?id=56530
7386,17576,Bulla Haragaal C,Village,12438,/clts/user/loadUnitDashboard?id=17576
7387,56569,Bulla Howr ,Village,12438,/clts/user/loadUnitDashboard?id=56569
7388,56571,Bulla Ijaba ,Village,12438,/clts/user/loadUnitDashboard?id=56571
7389,56537,Bulla Kulan,Village,12438,/clts/user/loadUnitDashboard?id=56537
7390,56554,Bulla Light B,Village,12438,/clts/user/loadUnitDashboard?id=56554
7391,56553,Bulla Lqight A,Village,12438,/clts/user/loadUnitDashboard?id=56553
7392,56564,Bulla Masajid ,Village,12438,/clts/user/loadUnitDashboard?id=56564
7393,56531,Bulla Poster A,Village,12438,/clts/user/loadUnitDashboard?id=56531
7394,56532,Bulla Poster B,Village,12438,/clts/user/loadUnitDashboard?id=56532
7395,56533,Bulla Poster D,Village,12438,/clts/user/loadUnitDashboard?id=56533
7396,56559,Bulla Primary,Village,12438,/clts/user/loadUnitDashboard?id=56559
7397,56567,Bulla Primary E- El  Yunis ,Village,12438,/clts/user/loadUnitDashboard?id=56567
7398,56563,Bulla Qandar,Village,12438,/clts/user/loadUnitDashboard?id=56563
7399,56534,Bulla Tarbaj 2a,Village,12438,/clts/user/loadUnitDashboard?id=56534
7400,56536,Bulla Tarbaj 2c,Village,12438,/clts/user/loadUnitDashboard?id=56536
7401,56566,Bulla Wagberi - El Yunis,Village,12438,/clts/user/loadUnitDashboard?id=56566
7402,56558,Bulla Wagberi - Hargaal,Village,12438,/clts/user/loadUnitDashboard?id=56558
7403,56573,Bulla Wells ,Village,12438,/clts/user/loadUnitDashboard?id=56573
7404,56555,Qbulla Daidai A,Village,12438,/clts/user/loadUnitDashboard?id=56555
7405,12437,Wargadud,Ward,12436,/clts/user/loadUnitDashboard?id=12437
7406,56593,Bulla Central - Wargadud,Village,12437,/clts/user/loadUnitDashboard?id=56593
7407,56579,Bulla Darken A,Village,12437,/clts/user/loadUnitDashboard?id=56579
7408,56590,Bulla Darken A - Kutulo,Village,12437,/clts/user/loadUnitDashboard?id=56590
7409,56591,Bulla Darken B - Kutulo,Village,12437,/clts/user/loadUnitDashboard?id=56591
7410,56592,Bulla Gadut,Village,12437,/clts/user/loadUnitDashboard?id=56592
7411,56585,Bulla Haji,Village,12437,/clts/user/loadUnitDashboard?id=56585
7412,56587,Bulla Jay,Village,12437,/clts/user/loadUnitDashboard?id=56587
7413,56594,Bulla Kurman - Wargaduud,Village,12437,/clts/user/loadUnitDashboard?id=56594
7414,56581,Bulla Oman A,Village,12437,/clts/user/loadUnitDashboard?id=56581
7415,56582,Bulla Oman B,Village,12437,/clts/user/loadUnitDashboard?id=56582
7416,56583,Bulla Ubah A,Village,12437,/clts/user/loadUnitDashboard?id=56583
7417,56584,Bulla Ubah B,Village,12437,/clts/user/loadUnitDashboard?id=56584
7418,56577,Bulla Wagberi A,Village,12437,/clts/user/loadUnitDashboard?id=56577
7419,56588,Bulla Wagberi A - Kutulo,Village,12437,/clts/user/loadUnitDashboard?id=56588
7420,17575,Bulla Wagberi B,Village,12437,/clts/user/loadUnitDashboard?id=17575
7421,56589,Bulla Wagberi B - Kutulo,Village,12437,/clts/user/loadUnitDashboard?id=56589
7422,56578,Bulla Wagberi C,Village,12437,/clts/user/loadUnitDashboard?id=56578
7423,56586,Bulla Washinton,Village,12437,/clts/user/loadUnitDashboard?id=56586
7424,53738,Ward Unassigned,Ward,12436,/clts/user/loadUnitDashboard?id=53738
7425,54048,Unassigned,Village,53738,/clts/user/loadUnitDashboard?id=54048
7426,12453,Wajir East,Subcounty,8692,/clts/user/loadUnitDashboard?id=12453
7427,12454,Barwaqo,Ward,12453,/clts/user/loadUnitDashboard?id=12454
7428,55369,Bulla Bahati,Village,12454,/clts/user/loadUnitDashboard?id=55369
