NAME_1,NAME_2,NAME_3,County,Sub-County,Ward
Baringo,805,Lembus,Baringo,Eldoma Ravine,Lembus
Bungoma,Webute West,Bokoli,Bungoma,Webuye West,Bokoli
Bungoma,Webute West,Matulo,Bungoma,Webuye West,Matulo
Bungoma,Webute West,Misikhu,Bungoma,Webuye West,Misikhu
Bungoma,Webute West,Sitikho,Bungoma,Webuye West,Sitikho
Embu,Manyatta,Gaturi North,Embu,Runyenjes,Gaturi North
Kisii,Kitutu Chache South,Kitutu   Central,Kisii,Kitutu Chache South,Kitutu Central
Kwale,Matuga,Waa,Kwale,Matuga,Waangombeni
